Student_ID,Subject,Study_Hours,Social_Hours,Grade
155,French B SL,11.4,9.9,6.0
156,French B SL,24.3,2.4,7.0
157,Math AA HL,17.4,9.3,4.0
158,Econ SL,9.0,4.8,5.0
159,Chem HL,18.3,1.1,5.0
160,Chem HL,10.1,8.7,6.0
161,Math AA HL,18.9,11.5,6.0
162,Chem HL,20.8,11.4,6.0
163,Eng A Lit SL,10.9,10.1,5.0
164,Eng A Lit SL,19.8,6.9,6.0
165,Econ SL,17.1,7.3,6.0
166,Math AA HL,19.1,10.1,4.0
167,Physics HL,24.5,11.7,7.0
168,Econ SL,13.8,10.6,6.0
169,French B SL,11.2,8.8,6.0
170,Physics HL,10.6,1.7,3.0
171,French B SL,10.9,2.4,6.0
172,Econ SL,14.6,3.0,6.0
173,Chem HL,16.7,25.2,6.0
174,Chem HL,16.4,14.2,5.0
175,Eng A Lit SL,19.1,8.0,7.0
176,Physics HL,15.1,2.9,5.0
177,Math AA HL,22.3,1.2,6.0
178,French B SL,13.7,22.9,5.0
179,Chem HL,28.6,22.3,5.0
180,Econ SL,18.1,1.2,7.0
181,French B SL,10.7,16.0,5.0
182,Math AA HL,9.6,5.9,2.0
183,French B SL,17.4,3.9,7.0
184,Eng A Lit SL,13.9,13.4,5.0
185,Math AA HL,18.6,9.5,5.0
186,Math AA HL,17.4,15.1,4.0
187,French B SL,14.6,0.8,7.0
188,French B SL,10.8,3.8,6.0
189,Chem HL,7.4,3.8,5.0
190,French B SL,12.8,4.0,7.0
191,Math AA HL,19.3,7.0,4.0
192,Econ SL,16.1,3.3,5.0
193,French B SL,8.8,5.9,6.0
194,Econ SL,15.9,4.6,7.0
195,Econ SL,16.9,13.3,6.0
196,Chem HL,10.6,9.3,5.0
197,Physics HL,15.8,10.6,4.0
198,Econ SL,15.3,2.4,6.0
199,Eng A Lit SL,9.3,3.9,4.0
200,Econ SL,16.8,0.2,7.0
201,Math AA HL,17.8,1.1,5.0
202,Chem HL,20.4,3.1,7.0
203,Eng A Lit SL,20.3,0.7,7.0
204,French B SL,8.1,9.2,6.0
205,Econ SL,10.3,62.8,4.0
206,French B SL,17.6,1.1,7.0
207,Physics HL,17.6,17.2,5.0
208,French B SL,17.6,1.3,6.0
209,Eng A Lit SL,34.3,11.1,7.0
210,Chem HL,17.9,10.3,6.0
211,Physics HL,20.7,23.3,5.0
212,Eng A Lit SL,19.8,1.2,5.0
213,Chem HL,18.3,3.8,5.0
214,Eng A Lit SL,13.4,1.0,6.0
215,French B SL,18.8,5.2,7.0
216,Eng A Lit SL,11.1,24.3,6.0
217,Physics HL,13.8,15.2,5.0
218,Eng A Lit SL,12.6,12.8,5.0
219,Math AA HL,15.4,7.6,5.0
220,French B SL,26.6,21.5,7.0
221,Eng A Lit SL,5.7,6.0,4.0
222,Chem HL,18.4,1.6,6.0
223,French B SL,6.9,18.2,5.0
224,Econ SL,12.6,3.3,7.0
225,Chem HL,20.4,0.6,7.0
226,Physics HL,15.3,1.3,6.0
227,Econ SL,9.6,9.4,5.0
228,Econ SL,11.4,9.3,6.0
229,Econ SL,18.4,3.0,7.0
230,Math AA HL,11.3,13.0,4.0
231,Eng A Lit SL,16.1,14.9,6.0
232,French B SL,15.2,25.3,6.0
233,Eng A Lit SL,11.7,8.8,6.0
234,Eng A Lit SL,25.7,15.1,6.0
235,French B SL,18.2,14.0,7.0
236,Econ SL,4.9,3.0,5.0
237,Econ SL,15.9,3.7,7.0
238,Math AA HL,11.7,6.5,4.0
239,Math AA HL,19.3,0.2,4.0
240,Physics HL,11.0,3.5,4.0
241,French B SL,14.4,6.4,7.0
242,French B SL,17.5,1.1,7.0
243,Chem HL,19.3,1.3,6.0
244,Chem HL,9.0,6.2,4.0
245,Chem HL,13.3,13.1,6.0
246,Math AA HL,12.6,17.9,3.0
247,Physics HL,11.7,7.9,5.0
248,Physics HL,23.8,6.4,5.0
249,Econ SL,17.0,4.8,7.0
250,Eng A Lit SL,8.7,2.1,5.0
251,Physics HL,19.6,1.6,5.0
252,Chem HL,25.6,15.7,7.0
253,French B SL,20.2,6.3,7.0
254,Eng A Lit SL,7.4,15.6,4.0
255,Econ SL,12.6,12.2,5.0
256,Math AA HL,21.3,2.2,6.0
257,Physics HL,11.5,7.1,3.0
258,Econ SL,17.2,5.9,6.0
259,French B SL,18.9,5.5,7.0
260,Chem HL,10.4,7.8,5.0
261,Math AA HL,14.7,40.2,2.0
262,Math AA HL,0.0,16.8,1.0
263,Physics HL,9.9,23.4,3.0
264,French B SL,13.7,0.3,6.0
265,Chem HL,8.8,1.5,6.0
266,Chem HL,23.2,0.9,7.0
267,Chem HL,7.8,3.1,4.0
268,Chem HL,12.8,5.8,5.0
269,Physics HL,15.7,10.3,3.0
270,Econ SL,22.2,6.9,7.0
271,Econ SL,7.8,23.3,5.0
272,Econ SL,20.8,28.1,6.0
273,Physics HL,15.1,1.8,6.0
274,French B SL,10.1,19.2,5.0
275,Eng A Lit SL,17.3,6.6,6.0
276,Physics HL,16.0,6.0,5.0
277,Chem HL,12.0,15.4,4.0
278,Econ SL,15.3,1.0,7.0
279,Econ SL,13.1,21.4,5.0
280,French B SL,15.6,11.1,6.0
281,Chem HL,18.3,20.8,6.0
282,Physics HL,22.9,52.0,4.0
283,Econ SL,8.8,7.3,6.0
284,French B SL,25.7,1.0,7.0
285,Chem HL,5.2,1.8,5.0
286,Econ SL,14.2,3.9,7.0
287,Eng A Lit SL,17.9,1.1,7.0
288,Math AA HL,16.4,16.9,5.0
289,Math AA HL,11.9,3.5,4.0
290,Econ SL,14.0,37.2,5.0
291,Chem HL,12.5,12.1,5.0
292,Econ SL,12.1,1.9,6.0
293,Math AA HL,19.2,6.5,6.0
294,Econ SL,16.8,6.3,7.0
295,Econ SL,11.5,6.8,5.0
296,Eng A Lit SL,19.5,7.7,6.0
297,Econ SL,16.5,0.3,7.0
298,Eng A Lit SL,19.1,11.6,6.0
299,Chem HL,18.1,6.7,5.0
300,Eng A Lit SL,10.9,15.7,5.0
301,Math AA HL,12.2,16.9,3.0
302,Chem HL,18.7,2.6,6.0
303,Econ SL,18.1,0.5,7.0
304,Math AA HL,14.9,12.1,4.0
305,Eng A Lit SL,15.6,38.1,5.0
306,Eng A Lit SL,21.4,5.9,6.0
307,French B SL,12.0,3.0,7.0
308,Physics HL,17.7,1.7,5.0
309,Econ SL,14.0,3.4,6.0
310,Physics HL,13.9,4.0,5.0
311,Chem HL,20.5,5.5,6.0
312,Math AA HL,19.1,10.7,4.0
313,Physics HL,19.1,3.2,4.0
314,Chem HL,21.5,0.5,7.0
315,Eng A Lit SL,15.1,4.7,6.0
316,Physics HL,18.4,19.4,5.0
317,Math AA HL,13.4,6.9,5.0
318,French B SL,16.6,33.5,7.0
319,French B SL,14.3,7.0,6.0
320,Physics HL,15.5,3.2,6.0
321,French B SL,18.0,2.1,7.0
322,Chem HL,10.9,11.9,4.0
323,Econ SL,25.5,7.7,7.0
324,Math AA HL,10.0,9.3,4.0
325,Eng A Lit SL,8.9,14.1,5.0
326,Math AA HL,20.8,12.9,5.0
327,Eng A Lit SL,19.0,0.4,7.0
328,French B SL,18.1,16.2,7.0
329,Chem HL,18.1,7.6,6.0
330,Eng A Lit SL,14.9,5.0,6.0
331,French B SL,10.5,7.7,7.0
332,Eng A Lit SL,15.4,9.5,6.0
333,Physics HL,11.6,1.6,5.0
334,Math AA HL,19.9,5.4,5.0
335,Econ SL,14.3,4.1,7.0
336,Econ SL,10.9,4.3,6.0
337,Chem HL,13.4,1.0,7.0
338,French B SL,17.1,1.7,6.0
339,Chem HL,12.2,1.8,5.0
340,Math AA HL,10.9,4.7,4.0
341,Econ SL,16.2,22.5,7.0
342,Eng A Lit SL,16.2,2.3,7.0
343,Eng A Lit SL,12.5,5.4,6.0
344,Chem HL,12.6,3.7,4.0
345,Eng A Lit SL,16.2,15.5,6.0
346,Eng A Lit SL,7.8,0.5,5.0
347,Eng A Lit SL,8.0,2.2,6.0
348,Physics HL,11.4,2.4,6.0
349,French B SL,13.9,49.6,4.0
350,French B SL,16.6,8.5,7.0
351,Econ SL,22.4,1.5,7.0
352,Math AA HL,19.3,3.2,6.0
353,Eng A Lit SL,14.2,1.8,6.0
354,Chem HL,14.9,1.3,6.0
355,Eng A Lit SL,10.0,16.0,6.0
356,Math AA HL,14.9,6.8,5.0
357,Eng A Lit SL,13.6,10.0,6.0
358,Physics HL,16.6,4.0,5.0
359,Math AA HL,10.9,8.1,3.0
360,French B SL,17.6,3.0,7.0
361,French B SL,22.7,3.7,7.0
362,Physics HL,14.5,10.6,5.0
363,French B SL,17.0,1.6,7.0
364,Econ SL,18.5,9.6,6.0
365,Physics HL,13.0,19.1,5.0
366,French B SL,16.1,1.3,6.0
367,French B SL,15.1,22.8,6.0
368,Econ SL,15.5,0.8,6.0
369,Eng A Lit SL,11.1,4.3,7.0
370,Math AA HL,15.1,9.4,6.0
371,French B SL,17.5,8.2,7.0
372,Math AA HL,22.3,1.0,5.0
373,Math AA HL,19.8,16.0,5.0
374,French B SL,25.8,36.2,7.0
375,Math AA HL,11.2,2.0,3.0
376,Econ SL,19.4,22.6,6.0
377,Physics HL,15.9,8.1,5.0
378,Econ SL,25.9,27.5,6.0
379,Chem HL,11.0,1.9,6.0
380,Physics HL,10.8,15.7,4.0
381,French B SL,12.0,0.6,6.0
382,Physics HL,4.4,21.5,3.0
383,Econ SL,12.4,11.2,5.0
384,Chem HL,11.2,4.6,5.0
385,Physics HL,15.8,2.1,4.0
386,Math AA HL,16.7,17.0,3.0
387,French B SL,24.4,9.2,7.0
388,Math AA HL,19.8,4.5,7.0
389,Math AA HL,12.1,5.9,5.0
390,French B SL,10.5,17.5,5.0
391,French B SL,17.5,4.1,7.0
392,Eng A Lit SL,8.4,0.9,6.0
393,Chem HL,24.2,24.2,6.0
394,Math AA HL,20.9,4.9,5.0
395,Econ SL,12.7,4.3,7.0
396,Math AA HL,6.4,2.3,5.0
397,French B SL,21.8,22.8,7.0
398,French B SL,14.4,2.5,7.0
399,Physics HL,21.2,10.1,5.0
400,Math AA HL,7.0,21.3,2.0
401,Math AA HL,12.0,0.4,5.0
402,French B SL,15.0,17.6,6.0
403,Econ SL,15.2,5.3,6.0
404,Econ SL,12.7,10.7,5.0
405,Math AA HL,18.1,4.7,5.0
406,Chem HL,9.7,11.9,6.0
407,Eng A Lit SL,14.3,2.9,6.0
408,French B SL,15.6,0.2,7.0
409,French B SL,17.6,29.5,6.0
410,Math AA HL,18.6,0.2,4.0
411,Econ SL,9.4,17.4,5.0
412,Eng A Lit SL,7.3,1.9,4.0
413,Eng A Lit SL,21.4,5.0,7.0
414,Econ SL,16.7,17.3,6.0
415,French B SL,11.3,2.3,5.0
416,French B SL,22.8,20.1,7.0
417,French B SL,15.6,6.9,7.0
418,Chem HL,20.9,4.6,6.0
419,Math AA HL,15.3,10.9,5.0
420,Chem HL,25.3,4.2,7.0
421,French B SL,23.8,4.3,7.0
422,Eng A Lit SL,13.8,13.2,6.0
423,Math AA HL,19.9,3.7,5.0
424,Math AA HL,18.2,2.2,5.0
425,Econ SL,21.8,16.5,6.0
426,French B SL,10.2,16.4,7.0
427,French B SL,18.4,6.9,7.0
428,French B SL,20.3,7.5,7.0
429,French B SL,6.2,11.9,5.0
430,French B SL,9.1,7.1,7.0
431,French B SL,4.8,5.4,7.0
432,Math AA HL,13.7,52.8,3.0
433,Chem HL,18.6,1.6,7.0
434,Eng A Lit SL,22.5,9.0,6.0
435,French B SL,15.4,21.7,7.0
436,Eng A Lit SL,23.1,11.6,6.0
437,Econ SL,8.1,21.3,5.0
438,Math AA HL,6.5,4.1,3.0
439,Eng A Lit SL,14.7,3.2,6.0
440,Math AA HL,16.9,19.1,3.0
441,Physics HL,14.8,5.0,6.0
442,Chem HL,4.7,12.4,4.0
443,Physics HL,14.6,1.6,5.0
444,Math AA HL,8.5,14.1,2.0
445,Econ SL,18.3,8.0,7.0
446,Physics HL,16.8,3.1,5.0
447,Math AA HL,10.3,6.8,3.0
448,Physics HL,12.4,11.9,5.0
449,Math AA HL,9.7,0.1,4.0
450,Chem HL,14.7,10.1,5.0
451,Econ SL,19.8,7.8,7.0
452,Chem HL,10.1,2.5,4.0
453,Chem HL,17.5,14.0,4.0
454,Math AA HL,12.3,3.6,4.0
455,Eng A Lit SL,11.0,3.2,5.0
456,Physics HL,14.5,6.4,4.0
457,Physics HL,9.8,11.3,4.0
458,Physics HL,12.2,26.4,4.0
459,Econ SL,9.0,1.5,6.0
460,Physics HL,24.8,5.0,6.0
461,Chem HL,15.2,0.7,6.0
462,Eng A Lit SL,11.5,14.2,5.0
463,Physics HL,16.1,5.9,4.0
464,Eng A Lit SL,14.4,12.3,6.0
465,Math AA HL,13.9,3.9,5.0
466,Math AA HL,18.1,18.6,2.0
467,Econ SL,18.8,7.7,7.0
468,Physics HL,12.3,28.8,3.0
469,French B SL,12.1,0.8,7.0
470,Econ SL,13.6,7.2,6.0
471,Chem HL,3.5,14.5,4.0
472,Econ SL,7.4,9.2,5.0
473,Physics HL,21.8,0.2,7.0
474,Chem HL,23.2,35.9,5.0
475,Physics HL,13.8,3.5,4.0
476,Chem HL,17.9,2.9,5.0
477,French B SL,16.6,6.6,7.0
478,French B SL,30.4,7.8,7.0
479,Econ SL,20.6,14.5,7.0
480,Math AA HL,14.4,5.0,4.0
481,Econ SL,10.2,5.8,7.0
482,Physics HL,7.0,7.7,4.0
483,French B SL,16.0,5.0,7.0
484,French B SL,11.2,24.6,5.0
485,Econ SL,7.9,19.1,4.0
486,Physics HL,11.8,6.1,4.0
487,Econ SL,9.6,0.0,7.0
488,Econ SL,23.4,23.1,7.0
489,Econ SL,19.4,1.3,7.0
490,Physics HL,15.0,2.8,5.0
491,Math AA HL,22.4,1.7,6.0
492,French B SL,15.4,2.0,7.0
493,Chem HL,10.7,16.2,4.0
494,Physics HL,22.6,8.7,5.0
495,Physics HL,17.7,31.3,3.0
496,Physics HL,9.8,2.6,5.0
497,Econ SL,14.0,6.6,7.0
498,Econ SL,10.6,37.9,4.0
499,Physics HL,8.1,17.5,3.0
500,French B SL,19.6,13.0,7.0
501,Chem HL,24.5,2.1,6.0
502,Math AA HL,8.0,14.7,4.0
503,Eng A Lit SL,17.8,4.3,6.0
504,French B SL,11.7,7.6,6.0
505,French B SL,12.6,9.4,7.0
506,Eng A Lit SL,12.0,9.4,5.0
507,Eng A Lit SL,10.7,13.0,4.0
508,Physics HL,15.2,10.8,5.0
509,Chem HL,10.8,0.7,6.0
510,French B SL,16.4,6.1,7.0
511,French B SL,14.7,10.9,6.0
512,Math AA HL,13.8,3.5,4.0
513,Eng A Lit SL,10.5,3.8,5.0
514,Eng A Lit SL,12.1,1.3,5.0
515,French B SL,18.8,5.4,7.0
516,Eng A Lit SL,17.5,43.3,5.0
517,Physics HL,10.1,3.4,4.0
518,Math AA HL,15.5,7.6,6.0
519,French B SL,18.8,13.6,7.0
520,Econ SL,6.7,0.1,7.0
521,Math AA HL,17.7,23.1,4.0
522,Econ SL,11.7,4.9,6.0
523,Physics HL,17.9,20.3,3.0
524,Math AA HL,11.2,0.4,5.0
525,Econ SL,6.0,1.6,6.0
526,Eng A Lit SL,6.9,3.9,5.0
527,French B SL,15.2,4.2,6.0
528,Math AA HL,16.3,18.8,3.0
529,Chem HL,10.5,0.1,5.0
530,French B SL,18.2,10.2,7.0
531,Math AA HL,6.7,1.4,3.0
532,French B SL,14.7,17.3,6.0
533,Econ SL,8.9,15.1,5.0
534,Math AA HL,11.7,6.9,5.0
535,Math AA HL,15.2,2.4,5.0
536,Eng A Lit SL,10.7,10.1,5.0
537,Math AA HL,13.1,1.7,5.0
538,Chem HL,20.0,2.1,7.0
539,Eng A Lit SL,12.1,9.9,5.0
540,Chem HL,19.2,47.4,5.0
541,Econ SL,9.4,22.2,5.0
542,Chem HL,17.6,9.0,7.0
543,Physics HL,22.2,7.7,5.0
544,Chem HL,2.6,64.3,1.0
545,Math AA HL,11.0,7.9,3.0
546,French B SL,17.9,5.4,6.0
547,Eng A Lit SL,14.0,24.0,6.0
548,Eng A Lit SL,16.9,2.7,5.0
549,Eng A Lit SL,12.0,1.0,5.0
550,French B SL,15.4,10.1,6.0
551,Chem HL,14.2,1.0,6.0
552,Econ SL,20.8,4.7,7.0
553,Physics HL,16.3,5.5,5.0
554,Math AA HL,16.7,7.9,4.0
555,Econ SL,12.9,47.9,3.0
556,Eng A Lit SL,12.6,2.5,6.0
557,Math AA HL,12.8,4.7,4.0
558,Chem HL,17.0,1.4,4.0
559,Econ SL,12.9,9.4,6.0
560,Physics HL,16.4,13.0,5.0
561,Eng A Lit SL,25.4,6.6,7.0
562,Chem HL,19.4,2.8,6.0
563,Econ SL,13.4,9.7,5.0
564,Physics HL,21.0,7.7,7.0
565,Econ SL,13.0,1.9,6.0
566,Eng A Lit SL,4.8,5.2,4.0
567,Chem HL,10.0,5.7,5.0
568,Math AA HL,5.6,40.5,2.0
569,Econ SL,13.2,18.9,5.0
570,French B SL,15.1,13.3,7.0
571,Eng A Lit SL,23.4,22.0,5.0
572,Physics HL,16.6,13.3,4.0
573,Physics HL,13.9,23.4,4.0
574,French B SL,19.1,0.6,7.0
575,French B SL,3.9,6.1,5.0
576,Chem HL,16.2,13.7,6.0
577,French B SL,18.9,8.8,7.0
578,Eng A Lit SL,7.6,1.9,6.0
579,Econ SL,20.7,4.2,6.0
580,French B SL,16.7,3.8,7.0
581,Eng A Lit SL,12.9,3.0,7.0
582,Math AA HL,18.2,4.2,5.0
583,French B SL,26.4,7.2,7.0
584,Math AA HL,15.9,19.3,3.0
585,Econ SL,16.2,13.5,6.0
586,Physics HL,12.7,18.0,4.0
587,Econ SL,10.8,21.5,5.0
588,French B SL,19.2,5.4,7.0
589,Physics HL,10.7,4.2,3.0
590,Econ SL,15.4,0.6,7.0
591,Math AA HL,12.6,26.7,3.0
592,Physics HL,17.4,0.7,6.0
593,Math AA HL,16.7,13.5,3.0
594,Chem HL,20.2,4.7,6.0
595,Econ SL,12.4,29.7,5.0
596,Econ SL,13.7,5.4,6.0
597,Math AA HL,10.1,17.0,3.0
598,Chem HL,12.8,3.3,6.0
599,Physics HL,16.9,3.6,5.0
600,Math AA HL,18.8,9.1,5.0
601,Chem HL,10.4,62.1,2.0
602,Math AA HL,19.3,7.3,4.0
603,Eng A Lit SL,21.8,27.5,6.0
604,Econ SL,17.1,15.4,5.0
605,Eng A Lit SL,24.4,15.9,7.0
606,Physics HL,11.1,5.7,5.0
607,Eng A Lit SL,8.8,4.9,4.0
608,Econ SL,6.1,2.1,5.0
609,French B SL,22.5,33.2,6.0
610,Chem HL,18.3,32.0,4.0
611,Econ SL,14.7,13.7,6.0
612,Econ SL,16.4,3.5,7.0
613,French B SL,9.4,2.8,6.0
614,Eng A Lit SL,27.2,44.8,5.0
615,Physics HL,15.6,0.7,5.0
616,French B SL,15.5,18.6,6.0
617,Econ SL,18.6,4.4,7.0
618,Physics HL,17.4,5.4,5.0
619,Math AA HL,16.1,17.8,4.0
620,Econ SL,11.0,0.9,6.0
621,French B SL,17.4,4.4,7.0
622,Math AA HL,24.4,30.4,3.0
623,French B SL,21.7,12.0,7.0
624,Chem HL,23.0,14.1,6.0
625,Physics HL,12.4,14.2,5.0
626,Math AA HL,10.1,0.6,4.0
627,Eng A Lit SL,14.4,2.3,6.0
628,French B SL,15.3,6.8,6.0
629,Econ SL,20.5,4.6,7.0
630,Math AA HL,6.5,5.3,5.0
631,French B SL,22.6,15.2,7.0
632,French B SL,14.2,0.1,7.0
633,French B SL,12.9,10.8,7.0
634,Math AA HL,9.9,0.0,4.0
635,Math AA HL,6.7,0.7,2.0
636,French B SL,19.1,5.2,6.0
637,Eng A Lit SL,15.4,18.4,6.0
638,Econ SL,8.6,1.6,6.0
639,Physics HL,8.5,8.1,4.0
640,French B SL,13.3,11.3,7.0
641,Eng A Lit SL,23.3,2.6,7.0
642,Physics HL,13.7,7.2,5.0
643,French B SL,7.5,24.2,5.0
644,Physics HL,13.8,7.2,4.0
645,French B SL,13.6,1.7,7.0
646,Math AA HL,1.5,9.9,3.0
647,French B SL,14.7,9.0,7.0
648,French B SL,13.8,0.3,7.0
649,French B SL,18.5,0.9,7.0
650,French B SL,24.2,1.7,7.0
651,Eng A Lit SL,20.6,1.5,7.0
652,Chem HL,13.7,3.0,5.0
653,Eng A Lit SL,9.5,6.1,5.0
654,Eng A Lit SL,27.9,4.6,7.0
655,Math AA HL,15.3,22.1,3.0
656,French B SL,15.1,9.5,6.0
657,Eng A Lit SL,14.9,20.9,5.0
658,Physics HL,16.0,7.5,4.0
659,French B SL,14.3,0.9,6.0
660,Math AA HL,12.1,6.2,5.0
661,Econ SL,12.3,17.3,6.0
662,Econ SL,14.8,2.2,6.0
663,Math AA HL,12.3,1.0,4.0
664,Physics HL,11.4,4.0,5.0
665,Econ SL,15.5,4.9,6.0
666,Math AA HL,13.7,3.7,5.0
667,Econ SL,22.5,1.5,7.0
668,French B SL,1.7,2.9,5.0
669,Chem HL,20.5,11.5,5.0
670,Chem HL,21.2,4.9,6.0
671,Eng A Lit SL,4.6,10.0,4.0
672,Math AA HL,13.3,7.7,3.0
673,French B SL,13.1,8.0,6.0
674,Physics HL,8.0,2.9,4.0
675,Physics HL,11.1,7.4,4.0
676,French B SL,9.4,0.2,6.0
